ID,LATITUDE,LONGITUDE,Dekat_Sekolah,Dekat_Rumah_Sakit,Dekat_Pasar,Dekat_Rumah_Warga,Fasilitas_Umum_Masyarakat,Dilalui_Kendaraan_Umum,Kepadatan_Jalan,Dekat_Penginapan_Kost,Dekat_PT,Dekat_Rumah_Ibadah,Dekat_Stasiun,Dekat_Bandara,Dekat_Terminal,Kota
188,-6.145405,106.87641,1,0,0,0,1,1,2,1,1,0,0,0,0,Jakarta Utara
189,-6.14365,106.869476,1,0,0,0,1,1,2,1,1,0,0,0,0,Jakarta Utara
190,-6.114095,106.889795,1,1,0,0,0,0,2,1,1,1,0,0,0,Jakarta Utara
191,-6.115853,106.889241,1,1,0,0,0,1,2,1,1,1,0,0,0,Jakarta Utara
192,-6.12268,106.889712,1,0,0,1,0,1,2,1,1,1,0,0,0,Jakarta Utara
193,-6.115821,106.886883,1,1,0,0,1,1,2,1,1,1,0,0,0,Jakarta Utara
194,-6.127083,106.882902,0,0,0,1,0,0,2,1,1,1,0,0,0,Jakarta Utara
195,-6.129556,106.881987,1,0,0,1,0,0,3,1,0,1,0,0,0,Jakarta Utara
196,-6.130595,106.88169,1,0,0,1,0,1,2,1,0,1,0,0,0,Jakarta Utara
197,-6.129656,106.879503,1,0,0,1,0,1,2,1,1,0,0,0,0,Jakarta Utara
198,-6.127953,106.876707,1,0,0,1,0,0,2,1,1,1,0,0,0,Jakarta Utara
199,-6.136882,106.855705,1,0,0,0,0,0,2,1,1,0,0,0,0,Jakarta Utara
200,-6.121049,106.871661,1,0,1,1,0,1,3,1,0,1,0,0,0,Jakarta Utara
201,-6.172775,106.809595,1,1,0,1,0,0,2,0,1,0,0,0,0,Jakarta Pusat
202,-6.170915,106.810499,0,1,0,0,0,1,3,1,1,1,0,0,0,Jakarta Pusat
203,-6.166619,106.823676,0,1,0,0,1,0,2,0,1,1,0,0,0,Jakarta Pusat
204,-6.163098,106.808507,1,1,0,1,1,0,1,1,1,0,0,0,0,Jakarta Pusat
205,-6.163205,106.824527,1,0,0,0,1,1,2,1,1,1,0,0,0,Jakarta Pusat
206,-6.163051,106.825772,1,0,0,0,1,1,2,1,1,1,0,0,0,Jakarta Pusat
207,-6.163334,106.826606,1,0,0,0,1,1,3,1,1,1,0,0,0,Jakarta Pusat
208,-6.164911,106.821737,1,0,0,1,1,0,2,1,1,0,0,0,0,Jakarta Pusat
209,-6.163366,106.823439,1,0,0,0,1,0,2,1,1,0,0,0,0,Jakarta Pusat
210,-6.162579,106.826579,0,0,0,0,1,1,3,1,1,0,1,0,0,Jakarta Pusat
211,-6.171375,106.814518,0,0,0,0,1,0,2,0,1,0,0,0,0,Jakarta Pusat
212,-6.170472,106.814946,0,0,0,0,1,1,2,0,1,1,0,0,0,Jakarta Pusat
213,-6.163085,106.811338,0,0,1,1,0,0,3,1,1,0,0,0,0,Jakarta Pusat
214,-6.181797,106.849938,1,1,1,1,0,0,2,0,0,1,0,0,0,Jakarta Pusat
215,-6.181072,106.849637,1,0,0,1,0,0,2,1,0,0,0,0,0,Jakarta Pusat
216,-6.180296,106.853764,0,0,1,1,0,0,3,0,0,1,0,0,0,Jakarta Pusat
217,-6.180616,106.859631,1,0,0,1,1,0,2,0,1,1,0,0,0,Jakarta Pusat
218,-6.178773,106.859051,1,0,0,1,0,0,2,0,1,1,0,0,0,Jakarta Pusat
219,-6.306696,106.864187,0,0,1,1,1,0,2,0,1,0,0,0,0,Jakarta Timur
220,-6.322033,106.857768,0,0,0,1,1,0,2,1,1,1,0,0,0,Jakarta Timur
221,-6.335007,106.852948,1,1,0,1,1,1,3,0,1,1,0,0,0,Jakarta Timur
222,-6.32917,106.852149,0,0,0,1,0,1,2,1,1,1,0,0,0,Jakarta Timur
223,-6.326502,106.856107,1,1,0,1,1,1,3,0,1,1,0,0,0,Jakarta Timur
224,-6.341808,106.857474,1,0,0,1,0,1,2,1,1,1,0,0,0,Jakarta Timur
225,-6.339986,106.856526,1,0,0,1,0,1,2,1,1,1,0,0,0,Jakarta Timur
226,-6.323486,106.852404,1,1,0,1,1,1,2,1,0,1,0,0,0,Jakarta Timur
227,-6.324992,106.850746,0,0,0,1,1,1,2,1,1,0,0,0,0,Jakarta Timur
228,-6.296213,106.865506,1,0,0,1,0,0,1,1,1,1,0,0,0,Jakarta Timur
229,-6.202312,106.882804,1,1,0,1,1,1,2,1,0,1,0,0,0,Jakarta Timur
230,-6.201818,106.88222,0,0,0,1,1,1,2,1,0,0,0,0,0,Jakarta Timur
